xy_axis1_nm,xy_axis2_nm,|E/E0|^2
-7.546875000000000000e+01,-1.312500000000000000e+02,6.846073291823927542e-01
-7.382812500000000000e+01,-1.312500000000000000e+02,6.769322638729746711e-01
-7.218750000000000000e+01,-1.312500000000000000e+02,6.689021184135323095e-01
-7.054687500000000000e+01,-1.312500000000000000e+02,6.605183114542054756e-01
-6.890625000000000000e+01,-1.312500000000000000e+02,6.517837110717299431e-01
-6.726562500000000000e+01,-1.312500000000000000e+02,6.427027258758291062e-01
-6.562500000000000000e+01,-1.312500000000000000e+02,6.332813932786021116e-01
-6.398437500000000000e+01,-1.312500000000000000e+02,6.235274638463246255e-01
-6.234375000000000000e+01,-1.312500000000000000e+02,6.134504805791095583e-01
-6.070312500000000000e+01,-1.312500000000000000e+02,6.030618518974614206e-01
-5.906250000000000000e+01,-1.312500000000000000e+02,5.923749170580790979e-01
-5.742187500000000000e+01,-1.312500000000000000e+02,5.814050026765967827e-01
-5.578125000000000000e+01,-1.312500000000000000e+02,5.701694690046544833e-01
-5.414062500000000000e+01,-1.312500000000000000e+02,5.586877445951333732e-01
-5.250000000000000000e+01,-1.312500000000000000e+02,5.469813479948669732e-01
-5.085937500000000000e+01,-1.312500000000000000e+02,5.350738951309714775e-01
-4.921875000000000000e+01,-1.312500000000000000e+02,5.229910911070575485e-01
-4.757812500000000000e+01,-1.312500000000000000e+02,5.107607052009652815e-01
-4.593750000000000000e+01,-1.312500000000000000e+02,4.984125279576130385e-01
-4.429687500000000000e+01,-1.312500000000000000e+02,4.859783094002937953e-01
-4.265625000000000000e+01,-1.312500000000000000e+02,4.734916775417272183e-01
-4.101562500000000000e+01,-1.312500000000000000e+02,4.609880365624520748e-01
-3.937500000000000000e+01,-1.312500000000000000e+02,4.485044442380344831e-01
-3.773437500000000000e+01,-1.312500000000000000e+02,4.360794684366543494e-01
-3.609375000000000000e+01,-1.312500000000000000e+02,4.237530227728651400e-01
-3.445312500000000000e+01,-1.312500000000000000e+02,4.115661817886677176e-01
-3.281250000000000000e+01,-1.312500000000000000e+02,3.995609763358514699e-01
-3.117187500000000000e+01,-1.312500000000000000e+02,3.877801701492737951e-01
-2.953125000000000000e+01,-1.312500000000000000e+02,3.762670189241577035e-01
-2.789062500000000000e+01,-1.312500000000000000e+02,3.650650135356359738e-01
-2.625000000000000000e+01,-1.312500000000000000e+02,3.542176093592262487e-01
-2.460937500000000000e+01,-1.312500000000000000e+02,3.437679439597353115e-01
-2.296875000000000000e+01,-1.312500000000000000e+02,3.337585457061213456e-01
